"species","chull","gcd","gcell","latrange"
"Alces.alces","4042855.02","4089.20591313277","880","10.551634218704"
"Ammospermophilus.harrisii","330767.7","952.958509065321","136","7.8858831647769"
"Ammospermophilus.interpres","461826.6","1323.238406335","155","10.964214214411"
"Ammospermophilus.leucurus","4201373.88","4756.64700813504","498","22.4532130402429"
"Ammospermophilus.nelsoni","257125.08","3196.01732786291","13","10.4510561291166"
"Antilocapra.americana","8450178.6","5370.01037242946","1097","27.1418610474316"
"Antrozous.pallidus","7368006.54","4825.39697848788","1736","28.4112294400294"
"Aplodontia.rufa","627834.54","1610.05592449455","158","13.6260143420322"
"Arborimus.albipes","94861.68","748.212269346073","47","6.32444233927185"
"Arborimus.longicaudus","73642.62","507.136352473376","37","4.21419092744584"
"Arborimus.pomo","37445.4","476.479254532661","22","4.01850118760527"
"Baiomys.taylori","1892240.88","1699.65125834684","510","13.5789387966774"
"Bassariscus.astutus","7057209.72","5631.09333966327","1584","23.4226763768387"
"Bison.bison","420636.66","1994.22085035735","38","16.8085658806824"
"Blarina.brevicauda","5107552.56","3105.69186494733","1629","17.6195101513278"
"Blarina.carolinensis","1777408.32","2071.29696567151","434","11.4853233013286"
"Blarina.hylophaga","800083.38","1255.85890927285","333","9.03162473148838"
"Brachylagus.idahoensis","1004784.9","1429.43776359798","249","11.2699362922219"
"Callospermophilus.lateralis","2317870.26","2170.65372641516","748","17.4368749747583"
"Callospermophilus.saturatus","94861.68","533.95205777298","45","4.4099057185799"
"Canis.latrans","12610362.54","4635.50149174822","4417","30.014202047055"
"Canis.lupus","5214896.04","4006.11472626534","799","18.1584742843134"
"Canis.rufus","4992.72","103.40696301507","6","0.639821777441917"
"Castor.canadensis","11233620","4576.62007162491","4036","27.085725746232"
"Cervus.canadensis","6327024.42","3458.01388082813","841","20.9695718887727"
"Chaetodipus.baileyi","399417.6","1096.14154195523","149","8.98827543994632"
"Chaetodipus.californicus","234657.84","1133.59100208144","79","8.85970809009178"
"Chaetodipus.eremicus","690243.54","1500.00629332013","260","11.473482530598"
"Chaetodipus.fallax","118577.1","915.408302343823","43","7.29970942125743"
"Chaetodipus.formosus","646557.24","1495.04121682314","184","12.115571002432"
"Chaetodipus.hispidus","3043062.84","2896.88341498238","1011","24.8835062710527"
"Chaetodipus.intermedius","913667.76","1377.69722363079","268","10.695009990888"
"Chaetodipus.nelsoni","615352.74","1302.2489623724","252","10.803032342291"
"Chaetodipus.penicillatus","655294.5","1386.85330154274","214","10.4005005117301"
"Chaetodipus.rudinoris","1397961.6","4709.12327296706","84","21.9371775477853"
"Chaetodipus.spinatus","1746203.82","4756.64700813504","98","22.4532130402429"
"Choeronycteris.mexicana","1588933.14","2183.28615623331","565","11.8093744416083"
"Condylura.cristata","3894321.6","2776.23118633877","1208","21.0419438182449"
"Conepatus.leuconotus","2599958.94","2250.96371361246","805","17.8398249977396"
"Corynorhinus.rafinesquii","2088205.14","1972.52963475837","618","15.9980226268489"
"Corynorhinus.townsendii","7510299.06","3870.75825129909","1847","28.3894918276842"
"Cratogeomys.castanops","1049719.38","1607.07261814767","326","13.7643471373413"
"Cryptotis.parva","6044935.74","3619.68424037236","1660","22.5356581889402"
"Cynomys.gunnisoni","416892.12","938.129905716687","162","6.79813324505282"
"Cynomys.leucurus","356979.48","924.409086930673","146","7.40193155889085"
"Cynomys.ludovicianus","2591221.68","2611.08952738124","812","20.3034000793735"
"Cynomys.parvidens","434366.64","3550.51908880941","17","7.90042817804718"
"Dasypus.novemcinctus","4426046.28","2817.09073336306","1292","19.1090664601123"
"Didelphis.virginiana","11269817.22","4603.48435426906","2206","28.2882503406971"
"Diphylla.ecaudata","323278.62","1029.83967684295","123","8.21698041023503"
"Dipodomys.agilis","64905.36","346.806458994062","28","2.60516792828506"
"Dipodomys.californicus","122321.64","610.272201562549","57","5.17321172866565"
"Dipodomys.compactus","81131.7","390.715651081448","39","3.08608920192092"
"Dipodomys.deserti","572914.62","1582.03443704617","174","12.4205452780089"
"Dipodomys.elator","18722.7","243.11486996891","13","1.00417302353218"
"Dipodomys.heermanni","86124.42","476.479254532661","44","4.04710303699773"
"Dipodomys.ingens","16226.34","305.136100781274","12","2.32693784994781"
"Dipodomys.merriami","2472644.58","2753.0259134269","695","18.2383668288851"
"Dipodomys.microps","652798.14","1191.19813633165","217","10.1151640985724"
"Dipodomys.nitratoides","29956.32","319.658943250459","18","2.32693784994781"
"Dipodomys.ordii","4416060.84","3417.806559769","1485","28.3058108103914"
"Dipodomys.panamintinus","1012273.98","3507.93710890033","52","11.2506802802785"
"Dipodomys.simulans","1269399.06","4491.77912190704","76","20.6391921654821"
"Dipodomys.spectabilis","1174537.38","1843.16533170522","283","14.9948108124735"
"Dipodomys.stephensi","247139.64","3483.93392015405","10","12.1458300102062"
"Dipodomys.venustus","31204.5","374.106134673036","18","2.89119352326378"
"Enhydra.lutris","483045.66","2288.97051095028","66","18.6936362834635"
"Eptesicus.fuscus","16704392.94","7144.05860278316","4404","29.4859746710897"
"Erethizon.dorsatum","9531102.48","4576.62007162491","2840","25.2002531302745"
"Euderma.maculatum","2255461.26","3085.40308549791","900","24.8549666941409"
"Eumops.floridanus","16226.34","243.11486996891","6","1.31043574249591"
"Eumops.perotis","1656334.86","2612.87474632827","624","15.9658105400383"
"Eumops.underwoodi","368213.1","1458.29187750601","135","10.7406987175081"
"Geomys.arenarius","184730.64","605.866321889573","73","4.76353315237294"
"Geomys.attwateri","57416.28","413.627852060279","28","2.56715148576858"
"Geomys.breviceps","240898.74","723.551242138385","109","6.06390285159524"
"Geomys.bursarius","2194300.44","2244.63680803822","703","18.5408220344695"
"Geomys.knoxjonesi","79883.52","362.240251766697","39","2.61085103168071"
"Geomys.personatus","94861.68","579.584402826715","36","4.03216457122622"
"Geomys.pinetis","401913.96","950.163796405651","129","6.74510638487929"
"Geomys.texensis","26211.78","305.136100781274","16","2.56444264071234"
"Glaucomys.sabrinus","10633245.42","6580.41024860913","1304","17.3234842520801"
"Glaucomys.volans","7396714.68","4275.4749630889","1638","26.3231997675835"
"Gulo.gulo","1009777.62","1652.17370757436","156","12.0678022961025"
"Heteromys.irroratus","499272","1040.41937698219","147","6.15298790778614"
"Ictidomys.mexicanus","999792.18","1496.42453869215","294","12.5225770177818"
"Ictidomys.tridecemlineatus","7682547.9","5645.65386115727","1421","23.1903613433945"
"Idionycteris.phyllotis","1326815.34","2196.87248605831","489","15.275735497655"
"Lasionycteris.noctivagans","10726858.92","4603.55258468935","3709","28.1824874379732"
"Lasiurus.blossevillii","5417101.2","3789.21795097616","1623","28.3963135556834"
"Lasiurus.borealis","7972125.66","3995.3939980933","2142","26.5431713181179"
"Lasiurus.cinereus","12058666.98","4603.55258468935","4223","29.2875210196682"
"Lasiurus.ega","112336.2","666.742319040872","53","5.72328169244354"
"Lasiurus.intermedius","3307677","3557.5708172853","478","19.1028469371895"
"Lasiurus.seminolus","2950697.52","2693.9214093956","586","17.3283584269033"
"Lasiurus.xanthinus","1803620.1","2406.56941724107","663","13.2143638075386"
"Lemmiscus.curtatus","1990847.1","2016.26915861945","698","14.7306611361507"
"Leopardus.pardalis","971084.04","1684.43949134423","103","10.299234826785"
"Leptonycteris.nivalis","465571.14","1161.08027284938","188","8.82304663661214"
"Leptonycteris.yerbabuenae","1385479.8","1844.10758905222","326","11.9192837911187"
"Lepus.alleni","420636.66","1457.14078935428","142","11.2884459768607"
"Lepus.americanus","7492824.54","4511.22211822916","1555","16.3239246983348"
"Lepus.californicus","5843978.76","3516.24837575505","1929","26.2938790697281"
"Lepus.callotis","439359.36","1472.92386768631","94","10.4871734614272"
"Lepus.townsendii","3619722","2663.85396746894","1300","14.5280400649846"
"Lontra.canadensis","11724154.74","4635.50149174822","4167","27.1882304091494"
"Lynx.canadensis","7475350.02","6450.17371859084","721","14.004514316224"
"Lynx.rufus","13149576.3","4823.97970559579","4059","28.7758347631308"
"Macrotus.californicus","1509049.62","2152.19532570815","334","14.2485448785728"
"Marmota.caligata","466819.32","1009.43344505718","142","5.64697289724599"
"Marmota.flaviventris","2525068.14","2150.53159009581","786","16.0913404371943"
"Marmota.monax","6042439.38","3870.1042311545","1755","19.7461722366586"
"Marmota.olympus","4992.72","103.40696301507","6","0.684561136232304"
"Martes.americana","5796547.92","4554.23398608372","897","14.4278877119401"
"Martes.pennanti","6529229.58","4539.86968975983","868","15.4939261290914"
"Mephitis.macroura","1375494.36","2033.87335888939","507","13.0913239844852"
"Mephitis.mephitis","12328273.86","4603.55258468935","4272","28.1370268769839"
"Microdipodops.megacephalus","389432.16","961.489864741174","142","7.40351885508782"
"Microdipodops.pallidus","504264.72","3319.37807427837","29","8.32578236874941"
"Microtus.californicus","1923445.38","3823.97925203576","171","15.4448532514259"
"Microtus.canicaudus","12481.8","249.404089782024","10","2.10636294633142"
"Microtus.chrotorrhinus","2387768.34","2294.7321412313","562","15.3674688573039"
"Microtus.longicaudus","3083004.6","2558.51777402464","1091","18.3187729698807"
"Microtus.mexicanus","3734554.56","5513.85391536628","353","23.3573437674337"
"Microtus.montanus","2169336.84","2181.0792282721","700","17.0417198389601"
"Microtus.ochrogaster","3798211.74","2618.74294271125","1220","20.9427041421568"
"Microtus.oregoni","285833.22","1243.5248288635","119","10.3598446282388"
"Microtus.pennsylvanicus","12655297.02","6580.41024860913","2414","23.2903472096334"
"Microtus.pinetorum","3635948.34","3059.0068976712","1225","16.8830354583824"
"Microtus.richardsoni","1275639.96","1690.87249667147","369","12.2829556594379"
"Microtus.townsendii","368213.1","1199.54798153304","120","10.1236790201513"
"Mormoops.megalophylla","1747452","1964.73229728632","655","11.3051563812463"
"Mustela.erminea","7613898","4603.55258468935","2032","16.7839628359902"
"Mustela.frenata","12031207.02","4603.48435426906","3834","28.94409729681"
"Mustela.nigripes","2827127.7","2681.74018875804","1052","21.148761077295"
"Mustela.nivalis","4472228.94","3199.83290813755","1504","17.0802191613524"
"Myodes.californicus","267110.52","1018.71656509551","110","8.60432548744419"
"Myodes.gapperi","7687540.62","4351.51771224707","2058","19.577253168839"
"Myotis.auriculus","1210734.6","1961.5223985466","357","13.6882771179518"
"Myotis.austroriparius","1530268.68","1673.72439786244","408","13.3323507066013"
"Myotis.californicus","4434783.54","3925.92251069733","1443","28.4646695016907"
"Myotis.ciliolabrum","1595174.04","2052.05272836738","562","14.1154633775438"
"Myotis.evotis","3457458.6","3018.80869880819","1196","24.7987728565295"
"Myotis.grisescens","1038485.76","1406.75332592463","385","10.9968322270093"
"Myotis.keenii","87372.6","462.204543465336","40","3.22010983517531"
"Myotis.leibii","2246724","2588.63467488172","676","14.0897728140782"
"Myotis.lucifugus","9496153.44","4603.55258468935","3221","22.4087485703022"
"Myotis.melanorhinus","4203870.24","3686.0410686806","1312","28.4112294400294"
"Myotis.occultus","1406698.86","2055.42915226967","435","15.7392691499974"
"Myotis.septentrionalis","4391097.24","2727.02968814056","1611","18.6331982218667"
"Myotis.sodalis","2214271.32","2452.90281095685","722","14.6155349196579"
"Myotis.thysanodes","4522156.14","3782.26700802574","1336","28.2885421725273"
"Myotis.velifer","2448929.16","2216.97783480124","715","18.5667124610016"
"Myotis.volans","4668193.2","3561.75047413487","1617","27.6133819801668"
"Myotis.yumanensis","4462243.5","3819.07541166707","1578","28.4981682413003"
"Napaeozapus.insignis","2859580.38","2411.37096275127","833","16.1238083161361"
"Nasua.narica","1628874.9","2060.9078582023","528","13.6792524648206"
"Neofiber.alleni","188475.18","750.32123787082","74","6.06433037159879"
"Neotamias.alpinus","13729.98","249.404089782024","10","1.93863443559007"
"Neotamias.amoenus","1355523.48","1762.63916897362","443","14.7788389385502"
"Neotamias.canipes","22467.24","361.775621069193","15","3.00990687517236"
"Neotamias.cinereicollis","118577.1","655.430759119527","51","3.09241097857119"
"Neotamias.dorsalis","1303099.92","2170.65372641516","342","17.5301062528536"
"Neotamias.merriami","202205.16","852.839258008213","64","6.56684822385244"
"Neotamias.minimus","4327440.06","3364.61409971485","1109","16.0238011048802"
"Neotamias.obscurus","88620.78","847.599646059388","19","6.81345601162488"
"Neotamias.ochrogenys","11233.62","296.080664684474","11","2.3820966036174"
"Neotamias.panamintinus","79883.52","586.073476622172","37","4.04493694053673"
"Neotamias.quadrimaculatus","32452.68","361.775621069193","19","2.89042239244279"
"Neotamias.quadrivittatus","371957.64","777.638373538755","155","6.13371873072725"
"Neotamias.ruficaudus","177241.56","657.146863341826","83","5.29078840948083"
"Neotamias.rufus","162263.4","633.442530937101","76","4.85240051612178"
"Neotamias.senex","202205.16","888.241994053422","77","7.4783485538821"
"Neotamias.siskiyou","39941.76","388.819186769377","21","2.98184990787512"
"Neotamias.sonomae","64905.36","498.808179564048","32","4.22003740817411"
"Neotamias.speciosus","921156.84","3440.79075795085","49","11.4938142312093"
"Neotamias.townsendii","205949.7","834.556097575232","86","6.9977192029554"
"Neotamias.umbrinus","755148.9","1266.8850618742","202","9.34634961897008"
"Neotoma.albigula","3230289.84","4808.53075689446","403","19.7201802799653"
"Neotoma.cinerea","2809653.18","2250.0094399802","1082","15.692594330255"
"Neotoma.devia","123569.82","555.604787596363","51","4.40907718185535"
"Neotoma.floridana","3272727.96","2774.4516719525","868","17.3114093082527"
"Neotoma.fuscipes","332015.88","1350.49023691399","115","11.2260492517141"
"Neotoma.lepida","4081548.6","4756.64700813504","503","22.4532130402429"
"Neotoma.leucodon","1329311.7","1971.44059002548","462","16.906587950273"
"Neotoma.macrotis","309548.64","1380.39417558899","107","10.8714417546894"
"Neotoma.magister","396921.24","1211.22912778714","160","7.33368622744456"
"Neotoma.mexicana","1797379.2","2267.18200416288","608","19.3244492259091"
"Neotoma.micropus","1455377.88","1913.99336466979","495","16.3121809901013"
"Neotoma.stephensi","289577.76","726.566996222647","118","4.85911124602805"
"Neovison.vison","10216353.3","4635.50149174822","3427","27.1882304091494"
"Neurotrichus.gibbsii","405658.5","1618.48740495563","131","13.6960528792316"
"Notiosorex.cockrumi","79883.52","411.085830453933","40","3.05860002854207"
"Notiosorex.crawfordi","3142917.24","2347.01380481667","994","16.5669154662522"
"Nycticeius.humeralis","4418557.2","3095.20466528467","1272","20.7805840670197"
"Nyctinomops.femorosaccus","1597670.4","2044.42441777631","541","12.9322419839299"
"Nyctinomops.macrotis","4248804.72","3964.2827951598","1012","17.5832509260626"
"Ochotona.princeps","1948408.98","2228.53319472697","445","14.7155098550951"
"Ochrotomys.nuttalli","1925941.74","1905.50539227786","658","12.5464500323373"
"Odocoileus.hemionus","5866446","3889.69074863285","1995","28.7138329703037"
"Odocoileus.virginianus","12539216.28","4650.21190914995","4049","30.5163362330734"
"Ondatra.zibethicus","9992929.08","4595.71357244988","3674","23.1852040617204"
"Onychomys.arenicola","821302.44","1621.12658358316","318","13.0667290102803"
"Onychomys.leucogaster","4864157.46","3426.93101768915","1627","27.2779038654858"
"Onychomys.torridus","1075931.16","2181.0792282721","368","17.2219288568066"
"Oreamnos.americanus","2905763.04","3951.58168838758","223","12.8378374381694"
"Oryzomys.couesi","812565.18","1482.99336478624","116","6.73148913947708"
"Oryzomys.palustris","8979406.92","6735.25023440109","726","20.4504293155815"
"Otospermophilus.beecheyi","988558.56","2595.58660036609","255","21.1371124425263"
"Otospermophilus.variegatus","2742251.46","2607.48035467192","931","20.2405110751118"
"Ovis.canadensis","6552945","4681.88719641984","631","25.501243725905"
"Panthera.onca","1992095.28","5572.13061225237","66","23.4578388567417"
"Parascalops.breweri","1203245.52","1847.27529079994","407","13.1146663614444"
"Pecari.tajacu","2037029.76","1988.52573531247","529","13.3359787091097"
"Perognathus.alticola","119825.28","3368.87898268845","6","11.0842045187401"
"Perognathus.amplus","243395.1","847.599646059388","82","7.25964602856419"
"Perognathus.fasciatus","1184522.82","1618.48740495563","434","13.1888923745368"
"Perognathus.flavescens","2153110.5","2279.56915227417","712","17.5879768789465"
"Perognathus.flavus","2467651.86","2537.38355003732","681","21.8255129298878"
"Perognathus.inornatus","113584.38","678.880077775155","52","5.2062694278879"
"Perognathus.longimembris","1157062.86","1824.57439420814","316","15.3840692172142"
"Perognathus.merriami","853755.12","1607.07261814767","333","13.2357542893255"
"Perognathus.parvus","1220720.04","1770.85657239653","433","14.4459853077502"
"Peromyscus.attwateri","591637.32","1166.45756030813","220","8.62464605357175"
"Peromyscus.boylii","5907635.94","5399.44720503868","1148","24.2344712915038"
"Peromyscus.californicus","250884.18","1154.20492114702","88","8.18663415488135"
"Peromyscus.crinitus","3433743.18","4067.74671777878","456","16.8599439737964"
"Peromyscus.eremicus","3628459.26","5542.90515163303","592","23.2466777249242"
"Peromyscus.fraterculus","1265654.52","4589.40564779362","99","20.9667573664606"
"Peromyscus.gossypinus","1954649.88","1955.31392875927","549","12.6126081457114"
"Peromyscus.gratus","803827.92","1725.24935009407","190","13.1056015606501"
"Peromyscus.keeni","71146.26","554.24445870031","32","4.1722755725381"
"Peromyscus.leucopus","8443937.7","4218.25113524551","2469","28.2230264352981"
"Peromyscus.maniculatus","15141671.58","6580.41024860913","3999","30.549834972683"
"Peromyscus.melanotis","547951.02","1521.40905742013","152","10.3581077728377"
"Peromyscus.merriami","295818.66","1247.02044891012","112","9.75484875005856"
"Peromyscus.nasutus","997295.82","1856.61819446002","288","15.4685754257679"
"Peromyscus.pectoralis","997295.82","1601.85617331894","338","12.6219559582805"
"Peromyscus.polionotus","650301.78","1338.92628624581","211","9.64199208305588"
"Peromyscus.truei","2852091.3","2294.2551732534","749","16.8882991036336"
"Phenacomys.intermedius","1366757.1","2096.35655364253","223","14.913496760159"
"Phenacomys.ungava","878718.72","2023.52510238939","336","6.01369162942553"
"Pipistrellus.hesperus","3745788.18","3359.11579437208","1138","24.4585416417176"
"Pipistrellus.subflavus","6354484.38","4121.8157164046","1724","25.1315758210917"
"Podomys.floridanus","109839.84","605.866321889573","47","4.95790620113902"
"Poliocitellus.franklinii","1525275.96","1828.32655726487","571","12.8859167389487"
"Procyon.lotor","13228211.64","4864.03306732181","4021","28.9604227997915"
"Puma.concolor","8646142.86","4706.15291719255","1888","28.4981682413003"
"Rangifer.tarandus","1125858.36","3793.21101443091","60","2.31594381798664"
"Reithrodontomys.fulvescens","2825879.52","2173.44151060018","885","16.5790329023773"
"Reithrodontomys.humulis","2294154.84","2041.68895770144","631","14.0586162497504"
"Reithrodontomys.megalotis","6876223.62","3701.0267656422","2089","28.3963135556834"
"Reithrodontomys.montanus","2562513.54","2447.8710586957","820","20.8432896564123"
"Reithrodontomys.raviventris","161015.22","2824.6172484073","6","7.83588047180886"
"Scalopus.aquaticus","5792803.38","3279.92759066416","1552","21.6114980327062"
"Scapanus.latimanus","513001.98","1487.13024311928","189","11.8732036047661"
"Scapanus.orarius","529228.32","1207.99235096916","181","10.1654670445022"
"Scapanus.townsendii","174745.2","1100.90889722992","72","9.22222933260296"
"Sciurus.aberti","997295.82","2072.56465279132","185","17.873860821358"
"Sciurus.arizonensis","107343.48","534.237587595631","37","4.47741174048146"
"Sciurus.carolinensis","8518828.5","4445.2060469679","1770","25.1596994293077"
"Sciurus.griseus","806324.28","1999.67345334182","214","16.8232068564036"
"Sciurus.nayaritensis","337008.6","1296.25554579334","111","9.95847932153811"
"Sciurus.niger","11090079.3","6735.25023440109","1950","25.0965835583834"
"Sigmodon.arizonae","594133.68","1740.06392986005","185","12.8751379459551"
"Sigmodon.fulviventer","733929.84","1594.03353791569","206","13.196992809546"
"Sigmodon.hispidus","4965260.04","3440.09264991512","1196","17.2073846958841"
"Sigmodon.ochrognathus","566673.72","1367.50477878507","222","10.2290923289592"
"Sorex.arcticus","1983358.02","2742.09882389384","702","9.33180252737205"
"Sorex.arizonae","103598.94","554.24445870031","41","4.57340987184602"
"Sorex.bairdi","43686.3","303.903274085687","25","1.91730792598199"
"Sorex.bendirii","299563.2","1316.80003037667","118","11.1238884752737"
"Sorex.cinereus","6984815.28","4308.49267842015","2060","16.404342908238"
"Sorex.dispar","721448.04","2228.53319472697","198","14.2132893317873"
"Sorex.fumeus","2531309.04","2318.33761130686","706","15.4936037066536"
"Sorex.haydeni","1150821.96","1642.11572064821","449","10.9299021352449"
"Sorex.hoyi","5784066.12","4004.90389897186","1128","16.4171889648241"
"Sorex.longirostris","2085708.78","1909.00942899714","734","14.4633820839356"
"Sorex.lyelli","4992.72","124.702044891012","6","1.05459122216458"
"Sorex.merriami","2229249.48","2105.76264569395","799","16.0732672190163"
"Sorex.monticolus","3288954.3","3616.35930183935","766","26.9358795641489"
"Sorex.nanus","1211982.78","2014.59201825084","455","16.6952905491841"
"Sorex.neomexicanus","13729.98","195.357825540724","11","1.57713804888848"
"Sorex.ornatus","446848.44","2189.65368037962","120","16.4047559425492"
"Sorex.pacificus","118577.1","605.866321889573","47","4.98034837241858"
"Sorex.palustris","8093199.12","4519.20769162029","1522","17.2300965351364"
"Sorex.preblei","917412.3","1441.55738005811","316","8.92523921038495"
"Sorex.rohweri","49927.2","412.40611052699","21","3.44594630632484"
"Sorex.sonomae","190971.54","961.489864741174","80","8.13456233194437"
"Sorex.tenellus","82379.88","462.204543465336","41","3.31801074448592"
"Sorex.trowbridgii","641564.52","1840.91249113042","216","15.5476154595179"
"Sorex.vagrans","1516538.7","1712.69651719153","487","13.7199815253965"
"Spilogale.gracilis","5041399.02","3888.76663738003","1656","28.2721560706019"
"Spilogale.putorius","5277305.04","3227.18828084139","1346","25.1265356672903"
"Sylvilagus.aquaticus","1153318.32","1533.88541944958","412","9.83698288580424"
"Sylvilagus.audubonii","4856668.38","3209.53610355142","1609","26.5709518688396"
"Sylvilagus.bachmani","1059704.82","2990.08243364627","249","23.6012450544991"
"Sylvilagus.cognatus","4992.72","124.702044891012","6","1.03569850559417"
"Sylvilagus.floridanus","10788019.74","4770.49626768536","2561","28.4051075518773"
"Sylvilagus.nuttallii","2478885.48","2046.76420723053","913","16.5105285041743"
"Sylvilagus.obscurus","314541.36","1304.06490636011","85","8.24940510717348"
"Sylvilagus.palustris","4850427.48","6735.25023440109","198","20.904771842314"
"Sylvilagus.robustus","67401.72","586.073476622172","32","4.4324814582045"
"Sylvilagus.transitionalis","1617641.28","6362.12904301697","28","4.11718162788487"
"Synaptomys.borealis","2390264.7","4147.13146644762","238","7.05966758947377"
"Synaptomys.cooperi","4283753.76","3135.78882579806","1413","15.5125476597624"
"Tadarida.brasiliensis","8632412.88","4791.88048682352","2176","22.4401150306199"
"Tamias.striatus","5115041.64","3139.64727318213","1778","20.5831269626423"
"Tamiasciurus.douglasii","702725.34","1766.23898722681","243","14.7892683010932"
"Tamiasciurus.hudsonicus","8312878.8","4443.79107069628","1970","18.9494666817967"
"Taxidea.taxus","9125443.98","3845.17944964861","3122","29.1685826397283"
"Thomomys.bottae","3019347.42","2945.52249354847","823","20.2694939479348"
"Thomomys.bulbivorus","12481.8","195.357825540724","10","1.6300516838694"
"Thomomys.clusius","6240.9","140.594452237633","7","0.628833755885502"
"Thomomys.idahoensis","182234.28","693.42665077137","69","5.18404885464037"
"Thomomys.mazama","1167048.3","2653.59147571739","56","7.64681458397001"
"Thomomys.monticola","97358.04","610.272201562549","42","4.81259925420979"
"Thomomys.talpoides","3011858.34","2246.88072669646","1012","16.6101454890752"
"Thomomys.townsendii","275847.78","761.189201184568","87","5.15825053857913"
"Thomomys.umbrinus","718951.68","1569.18634967298","200","11.2293994402475"
"Urocitellus.armatus","244643.28","859.29478061955","96","7.20340402354233"
"Urocitellus.beldingi","506761.08","1083.46224668883","181","9.05789009655106"
"Urocitellus.brunneus","185978.82","2977.38460397712","6","1.29926452628876"
"Urocitellus.canus","243395.1","664.486237630246","109","4.69882157991533"
"Urocitellus.columbianus","451841.16","928.204848080422","175","7.10437021993148"
"Urocitellus.elegans","577907.34","1048.92569803585","159","7.26598299187867"
"Urocitellus.mollis","684002.64","1333.48463808174","211","10.5256368993314"
"Urocitellus.richardsonii","836280.6","1586.38751886164","268","7.08498487192522"
"Urocitellus.townsendii","8737.26","144.896100706679","8","1.05186294409248"
"Urocitellus.washingtoni","396921.24","2783.00851597691","19","2.48391857894129"
"Urocyon.cinereoargenteus","11156232.84","4410.85599855629","3238","28.0131237029778"
"Urocyon.littoralis","187227","3371.69650472874","8","12.3140049026031"
"Vulpes.macrotis","2868317.64","3067.31095913016","793","20.8165168223459"
"Vulpes.velox","1899729.96","2328.78010984292","626","18.6630681245956"
"Vulpes.vulpes","10841691.48","4592.00373693228","3360","26.0480481588454"
"Xerospermophilus.mohavensis","33700.86","296.080664684474","18","2.52056966046467"
"Xerospermophilus.spilosoma","2571250.8","2542.74196095475","799","21.8829999223386"
"Xerospermophilus.tereticaudus","470563.86","1302.2489623724","168","10.0507183276968"
"Zapus.hudsonius","8123155.44","4140.08904735152","2051","19.6311044343322"
"Zapus.princeps","3202829.88","2312.45792177933","923","15.6770577024463"
"Zapus.trinotatus","338256.78","1413.5207249984","112","11.9766531693602"
